response,trial_id,trialnumber,subject,type,attested,consonant,vowel
no,16,24,YTA13,arbitrary,no,gsh,ia
no,16,25,AGU45,arbitrary,no,gsh,ia
no,16,25,PJQ22,arbitrary,no,gsh,ia
no,16,26,RTM20,arbitrary,no,gsh,ia
no,16,26,XXX13,arbitrary,no,gsh,ia
no,161,11,RVK25,training,yes,jm,ai
no,162,15,PAA25,training,yes,jm,au
no,163,19,NBS40,arbitrary,no,shp,ea
no,163,20,LWE35,arbitrary,no,shp,ea
no,163,20,TZL16,arbitrary,no,shp,ea
no,163,23,CSE47,arbitrary,no,shp,ea
no,163,23,HNI31,arbitrary,no,shp,ea
no,164,19,ONC29,arbitrary,no,shp,ei
no,164,19,XXX13,arbitrary,no,shp,ei
no,164,22,WIR19,arbitrary,no,shp,ei
no,164,25,CTU23,arbitrary,no,shp,ei
no,164,25,HIU25,arbitrary,no,shp,ei
no,165,26,YTA13,arbitrary,no,shp,eu
no,166,14,WIR19,training,yes,jm,ea
no,167,12,HIU25,training,yes,jm,ei
no,167,14,XXX13,training,yes,jm,ei
no,167,17,PRM39,training,yes,jm,ei
no,168,17,ZLO20,training,yes,jm,eu
no,169,26,SUI10,arbitrary,no,shp,ia
no,17,22,DQJ26,arbitrary,no,gsh,ie
no,17,23,PQU27,arbitrary,no,gsh,ie
no,17,26,HNI31,arbitrary,no,gsh,ie
no,170,21,JTL5,arbitrary,no,shp,ie
no,170,23,DXA19,arbitrary,no,shp,ie
no,170,24,BOP7,arbitrary,no,shp,ie
no,171,21,ZLO20,arbitrary,no,shp,iu
no,171,23,MBE36,arbitrary,no,shp,iu
no,171,25,WGE29,arbitrary,no,shp,iu
no,172,16,ONC29,training,yes,jm,ia
no,173,11,QAA7,training,yes,jm,ie
no,175,20,RVK25,arbitrary,no,shp,ua
no,176,19,XRI46,arbitrary,no,shp,ue
no,176,20,LSL5,arbitrary,no,shp,ue
no,176,20,SDQ13,arbitrary,no,shp,ue
no,176,20,ZQN28,arbitrary,no,shp,ue
no,176,22,AGU45,arbitrary,no,shp,ue
no,177,20,DUY43,arbitrary,no,shp,ui
no,177,24,VTY20,arbitrary,no,shp,ui
no,179,11,HNI31,training,yes,jm,ue
no,179,18,WHL13,training,yes,jm,ue
no,18,21,OMR16,arbitrary,no,gsh,iu
no,18,23,IHB37,arbitrary,no,gsh,iu
no,18,23,JPD23,arbitrary,no,gsh,iu
no,18,26,DUY43,arbitrary,no,gsh,iu
no,180,13,NBS40,training,yes,jm,ui
no,180,14,TZL16,training,yes,jm,ui
no,182,17,VTY20,training,yes,nsh,ie
no,183,11,HIU25,training,yes,nsh,iu
no,184,11,XXX13,identical,no,ss,ia
no,184,13,ZLO20,identical,no,ss,ia
no,184,14,WGE29,identical,no,ss,ia
no,184,16,YGH17,identical,no,ss,ia
no,185,14,BJE32,identical,no,ss,ie
no,185,14,LSL5,identical,no,ss,ie
no,185,16,CSE47,identical,no,ss,ie
no,185,17,FLQ15,identical,no,ss,ie
no,186,14,FEY33,identical,no,ss,iu
no,186,17,HIU25,identical,no,ss,iu
no,187,11,ZLO20,training,yes,nsh,ua
no,188,16,YTA13,training,yes,nsh,ue
no,188,18,PRM39,training,yes,nsh,ue
no,189,12,BOP7,training,yes,nsh,ui
no,189,14,ONC29,training,yes,nsh,ui
no,189,17,QAA7,training,yes,nsh,ui
no,190,12,EXG29,identical,no,ss,ua
no,190,12,SUI10,identical,no,ss,ua
no,190,14,NBS40,identical,no,ss,ua
no,191,13,OMR16,identical,no,ss,ue
no,191,16,DXA19,identical,no,ss,ue
no,192,12,HTD30,identical,no,ss,ui
no,192,13,HYA18,identical,no,ss,ui
no,192,13,MBE36,identical,no,ss,ui
no,192,13,OOM11,identical,no,ss,ui
no,192,14,IHB37,identical,no,ss,ui
no,192,14,JTL5,identical,no,ss,ui
no,192,14,PQU27,identical,no,ss,ui
no,192,15,WIR19,identical,no,ss,ui
no,192,17,PAA25,identical,no,ss,ui
no,192,18,ONC29,identical,no,ss,ui
no,2,12,ZLO20,training,yes,shj,ai
no,2,14,QAA7,training,yes,shj,ai
no,22,23,XYI7,arbitrary,no,gsh,ua
no,22,25,DXA19,arbitrary,no,gsh,ua
no,23,20,YGH17,arbitrary,no,gsh,ue
no,23,26,FEY33,arbitrary,no,gsh,ue
no,23,26,SDH19,arbitrary,no,gsh,ue
no,24,21,LSL5,arbitrary,no,gsh,ui
no,24,22,NBS40,arbitrary,no,gsh,ui
no,24,23,RVK25,arbitrary,no,gsh,ui
no,24,26,EXG29,arbitrary,no,gsh,ui
no,25,20,SUI10,identical,no,jj,ae
no,25,23,OOM11,identical,no,jj,ae
no,25,24,HNI31,identical,no,jj,ae
no,26,19,ZQN28,identical,no,jj,ai
no,26,20,PRM39,identical,no,jj,ai
no,26,22,RVK25,identical,no,jj,ai
no,26,23,BJE32,identical,no,jj,ai
no,26,24,CSE47,identical,no,jj,ai
no,26,25,ZLO20,identical,no,jj,ai
no,27,22,WHL13,identical,no,jj,au
no,27,23,IXJ33,identical,no,jj,au
no,27,23,XXX13,identical,no,jj,au
no,27,25,HTD30,identical,no,jj,au
no,3,17,BRM12,training,yes,shj,au
no,30,13,LSL5,training,yes,gk,au
no,30,15,GHH42,training,yes,gk,au
no,30,15,RVK25,training,yes,gk,au
no,31,21,BRM12,identical,no,jj,ea
no,31,23,RTM20,identical,no,jj,ea
no,31,23,YGH17,identical,no,jj,ea
no,31,24,ZKN24,identical,no,jj,ea
no,31,26,BUN5,identical,no,jj,ea
no,32,21,QAA7,identical,no,jj,ei
no,32,21,XRI46,identical,no,jj,ei
no,32,25,LSL5,identical,no,jj,ei
no,33,23,CTU23,identical,no,jj,eu
no,33,24,GTK36,identical,no,jj,eu
no,35,13,BOP7,training,yes,gk,ei
no,35,14,DEY7,training,yes,gk,ei
no,35,16,ZLO20,training,yes,gk,ei
no,35,18,AGU45,training,yes,gk,ei
no,35,18,TZL16,training,yes,gk,ei
no,37,20,HIU25,identical,no,jj,ia
no,37,20,PAA25,identical,no,jj,ia
no,37,25,WJQ20,identical,no,jj,ia
no,38,23,DUY43,identical,no,jj,ie
no,38,24,SDQ13,identical,no,jj,ie
no,38,26,JPD23,identical,no,jj,ie
no,39,20,XYI7,identical,no,jj,iu
no,39,21,EXG29,identical,no,jj,iu
no,4,25,ZKN24,arbitrary,no,gsh,ae
no,40,11,DQJ26,training,yes,gk,ia
no,40,18,SDQ13,training,yes,gk,ia
no,41,11,VTY20,training,yes,gk,ie
no,41,14,SUI10,training,yes,gk,ie
no,41,16,HIU25,training,yes,gk,ie
no,42,11,BUN5,training,yes,gk,iu
no,43,19,YTA13,identical,no,jj,ua
no,43,24,OWP11,identical,no,jj,ua
no,43,24,YCA20,identical,no,jj,ua
no,44,21,PQU27,identical,no,jj,ue
no,44,21,VTY20,identical,no,jj,ue
no,44,24,JGJ14,identical,no,jj,ue
no,44,25,TZL16,identical,no,jj,ue
no,45,20,BOP7,identical,no,jj,ui
no,45,24,DEY7,identical,no,jj,ui
no,45,25,IHB37,identical,no,jj,ui
no,47,13,XXX13,training,yes,gk,ue
no,47,18,QAA7,training,yes,gk,ue
no,48,16,AQD31,training,yes,gk,ui
no,49,19,IXJ33,identical,no,kk,ae
no,49,21,ONC29,identical,no,kk,ae
no,49,22,DUY43,identical,no,kk,ae
no,49,25,XXX13,identical,no,kk,ae
no,49,26,HYA18,identical,no,kk,ae
no,5,26,HIU25,arbitrary,no,gsh,ai
no,50,22,WJQ20,identical,no,kk,ai
no,50,26,GHH42,identical,no,kk,ai
no,50,26,JXT29,identical,no,kk,ai
no,50,26,ZKN24,identical,no,kk,ai
no,52,25,DEY7,training,yes,mn,ae
no,54,21,WIR19,training,yes,mn,au
no,54,25,NBS40,training,yes,mn,au
no,55,22,HIU25,identical,no,kk,ea
no,56,20,PQU27,identical,no,kk,ei
no,56,22,BOP7,identical,no,kk,ei
no,56,22,XYI7,identical,no,kk,ei
no,56,23,HTD30,identical,no,kk,ei
no,57,24,MBE36,identical,no,kk,eu
no,57,26,PJQ22,identical,no,kk,eu
no,57,26,WIR19,identical,no,kk,eu
no,58,24,ONC29,training,yes,mn,ea
no,6,21,BOP7,arbitrary,no,gsh,au
no,60,21,XYI7,training,yes,mn,eu
no,61,19,CSE47,identical,no,kk,ia
no,61,19,KPY6,identical,no,kk,ia
no,61,23,QAA7,identical,no,kk,ia
no,61,25,THB15,identical,no,kk,ia
no,62,22,EXG29,identical,no,kk,ie
no,63,20,WRW13,identical,no,kk,iu
no,63,23,SUI10,identical,no,kk,iu
no,63,24,RVK25,identical,no,kk,iu
no,64,19,GHH42,training,yes,mn,ia
no,64,21,WHL13,training,yes,mn,ia
no,64,23,ZLO20,training,yes,mn,ia
no,65,20,QAA7,training,yes,mn,ie
no,65,22,GTK36,training,yes,mn,ie
no,66,25,PAA25,training,yes,mn,iu
no,67,19,LSL5,identical,no,kk,ua
no,67,20,VTY20,identical,no,kk,ua
no,67,24,XRI46,identical,no,kk,ua
no,67,25,SDQ13,identical,no,kk,ua
no,68,24,OOM11,identical,no,kk,ue
no,68,25,JPD23,identical,no,kk,ue
no,69,20,XZM17,identical,no,kk,ui
no,69,21,FEY33,identical,no,kk,ui
no,69,24,DQJ26,identical,no,kk,ui
no,69,25,WHL13,identical,no,kk,ui
no,69,25,ZQN28,identical,no,kk,ui
no,7,13,CTU23,training,yes,shj,ea
no,70,21,HIU25,training,yes,mn,ua
no,71,25,RVK25,training,yes,mn,ue
no,72,25,IXJ33,training,yes,mn,ui
no,72,25,WRW13,training,yes,mn,ui
no,73,23,PJQ22,training,yes,sg,ae
no,73,24,XYI7,training,yes,sg,ae
no,74,23,BOP7,training,yes,sg,ai
no,74,24,WIR19,training,yes,sg,ai
no,74,26,OOM11,training,yes,sg,ai
no,75,21,BUN5,training,yes,sg,au
no,75,22,ITF10,training,yes,sg,au
no,75,24,QAA7,training,yes,sg,au
no,75,24,RTM20,training,yes,sg,au
no,76,11,PRM39,identical,no,mm,ae
no,76,15,YGH17,identical,no,mm,ae
no,76,17,JPD23,identical,no,mm,ae
no,76,17,YCA20,identical,no,mm,ae
no,77,18,HYA18,identical,no,mm,ai
no,77,18,NBS40,identical,no,mm,ai
no,78,16,WRW13,identical,no,mm,au
no,79,22,PRM39,training,yes,sg,ea
no,8,11,OOM11,training,yes,shj,ei
no,80,25,SUI10,training,yes,sg,ei
no,80,26,RVK25,training,yes,sg,ei
no,81,24,HIU25,training,yes,sg,eu
no,81,24,QZV17,training,yes,sg,eu
no,82,12,JXT29,identical,no,mm,ea
no,83,12,VTY20,identical,no,mm,ei
no,83,15,FTY34,identical,no,mm,ei
no,84,13,DUY43,identical,no,mm,eu
no,84,15,QAA7,identical,no,mm,eu
no,84,15,XXX13,identical,no,mm,eu
no,84,16,RVK25,identical,no,mm,eu
no,84,17,SDQ13,identical,no,mm,eu
no,84,18,EXG29,identical,no,mm,eu
no,86,22,ZLO20,training,yes,sg,ie
no,87,22,FEY33,training,yes,sg,iu
no,88,11,PJQ22,identical,no,mm,ia
no,88,16,PQU27,identical,no,mm,ia
no,88,17,AQD31,identical,no,mm,ia
no,88,17,JTL5,identical,no,mm,ia
no,89,11,OMR16,identical,no,mm,ie
no,89,13,DQJ26,identical,no,mm,ie
no,89,14,DXA19,identical,no,mm,ie
no,89,14,MBE36,identical,no,mm,ie
no,89,15,ONC29,identical,no,mm,ie
no,89,15,WHL13,identical,no,mm,ie
no,89,16,WIR19,identical,no,mm,ie
no,90,12,CSE47,identical,no,mm,iu
no,90,12,XYI7,identical,no,mm,iu
no,90,15,HNI31,identical,no,mm,iu
no,90,16,ITF10,identical,no,mm,iu
no,91,19,DUY43,training,yes,sg,ua
no,91,22,HNI31,training,yes,sg,ua
no,92,22,GHH42,training,yes,sg,ue
no,92,22,XXX13,training,yes,sg,ue
no,93,21,WJQ20,training,yes,sg,ui
no,93,23,BRM12,training,yes,sg,ui
no,93,25,MBE36,training,yes,sg,ui
no,94,11,PAA25,identical,no,mm,ua
no,94,12,TZL16,identical,no,mm,ua
no,94,14,CTU23,identical,no,mm,ua
no,95,12,IHB37,identical,no,mm,ue
no,95,13,HIU25,identical,no,mm,ue
no,95,14,BRM12,identical,no,mm,ue
no,95,17,WJQ20,identical,no,mm,ue
no,96,12,FLQ15,identical,no,mm,ui
no,97,15,JXT29,arbitrary,no,ng,ae
no,97,18,PQU27,arbitrary,no,ng,ae
no,98,15,CTU23,arbitrary,no,ng,ai
no,98,16,WHL13,arbitrary,no,ng,ai
no,98,18,JPD23,arbitrary,no,ng,ai
no,99,13,FLQ15,arbitrary,no,ng,au
no,99,15,FEY33,arbitrary,no,ng,au
no,99,15,PJQ22,arbitrary,no,ng,au
no,99,17,DQJ26,arbitrary,no,ng,au
no,99,18,MBE36,arbitrary,no,ng,au
yes,1,11,MBE36,training,yes,shj,ae
yes,1,12,PQU27,training,yes,shj,ae
yes,1,15,OMR16,training,yes,shj,ae
yes,10,19,AQD31,arbitrary,no,gsh,ea
yes,10,23,WJQ20,arbitrary,no,gsh,ea
yes,10,24,KPY6,arbitrary,no,gsh,ea
yes,10,26,XRI46,arbitrary,no,gsh,ea
yes,100,19,ITF10,training,yes,ps,ae
yes,101,19,OWP11,training,yes,ps,ai
yes,101,20,AQD31,training,yes,ps,ai
yes,101,25,APO16,training,yes,ps,ai
yes,101,26,THB15,training,yes,ps,ai
yes,102,20,OOM11,training,yes,ps,au
yes,102,21,CSE47,training,yes,ps,au
yes,102,21,YTA13,training,yes,ps,au
yes,102,24,SUI10,training,yes,ps,au
yes,102,25,XRI46,training,yes,ps,au
yes,103,18,XZM17,arbitrary,no,ng,ea
yes,104,11,AQD31,arbitrary,no,ng,ei
yes,104,15,THB15,arbitrary,no,ng,ei
yes,104,18,IXJ33,arbitrary,no,ng,ei
yes,105,11,FTY34,arbitrary,no,ng,eu
yes,105,13,VTY20,arbitrary,no,ng,eu
yes,105,15,TZL16,arbitrary,no,ng,eu
yes,106,21,HYA18,training,yes,ps,ea
yes,106,22,JPD23,training,yes,ps,ea
yes,106,23,AGU45,training,yes,ps,ea
yes,106,23,LSL5,training,yes,ps,ea
yes,106,25,PQU27,training,yes,ps,ea
yes,107,20,RTM20,training,yes,ps,ei
yes,107,21,KPY6,training,yes,ps,ei
yes,107,25,GHH42,training,yes,ps,ei
yes,108,21,DUY43,training,yes,ps,eu
yes,109,12,ONC29,arbitrary,no,ng,ia
yes,109,12,OOM11,arbitrary,no,ng,ia
yes,109,13,HTD30,arbitrary,no,ng,ia
yes,109,14,PRM39,arbitrary,no,ng,ia
yes,109,14,QZV17,arbitrary,no,ng,ia
yes,11,19,MBE36,arbitrary,no,gsh,ei
yes,11,20,BUN5,arbitrary,no,gsh,ei
yes,11,26,PAA25,arbitrary,no,gsh,ei
yes,11,26,SDQ13,arbitrary,no,gsh,ei
yes,111,12,HYA18,arbitrary,no,ng,iu
yes,111,15,BOP7,arbitrary,no,ng,iu
yes,111,17,YGH17,arbitrary,no,ng,iu
yes,112,20,DQJ26,training,yes,ps,ia
yes,112,20,JXT29,training,yes,ps,ia
yes,112,24,IHB37,training,yes,ps,ia
yes,112,24,XZM17,training,yes,ps,ia
yes,112,25,SDH19,training,yes,ps,ia
yes,112,26,BOP7,training,yes,ps,ia
yes,112,26,GTK36,training,yes,ps,ia
yes,113,19,YCA20,training,yes,ps,ie
yes,113,21,YGH17,training,yes,ps,ie
yes,113,22,JGJ14,training,yes,ps,ie
yes,113,22,LWE35,training,yes,ps,ie
yes,113,25,OMR16,training,yes,ps,ie
yes,114,19,CTU23,training,yes,ps,iu
yes,114,21,ZKN24,training,yes,ps,iu
yes,114,22,ZQN28,training,yes,ps,iu
yes,114,23,FLQ15,training,yes,ps,iu
yes,114,23,WIR19,training,yes,ps,iu
yes,114,26,HTD30,training,yes,ps,iu
yes,114,26,JTL5,training,yes,ps,iu
yes,115,15,KPY6,arbitrary,no,ng,ua
yes,116,13,APO16,arbitrary,no,ng,ue
yes,116,15,NBS40,arbitrary,no,ng,ue
yes,116,15,ZKN24,arbitrary,no,ng,ue
yes,117,18,OMR16,arbitrary,no,ng,ui
yes,118,20,HNS15,training,yes,ps,ua
yes,118,21,LXE12,training,yes,ps,ua
yes,118,23,FEY33,training,yes,ps,ua
yes,118,24,BUN5,training,yes,ps,ua
yes,118,26,WJQ20,training,yes,ps,ua
yes,119,24,EXG29,training,yes,ps,ue
yes,12,21,APO16,arbitrary,no,gsh,eu
yes,12,22,YCA20,arbitrary,no,gsh,eu
yes,120,25,HNI31,training,yes,ps,ui
yes,121,12,GHH42,arbitrary,no,pn,ae
yes,121,18,BUN5,arbitrary,no,pn,ae
yes,122,12,ZQN28,arbitrary,no,pn,ai
yes,122,13,DXA19,arbitrary,no,pn,ai
yes,122,15,HNS15,arbitrary,no,pn,ai
yes,122,17,QZV17,arbitrary,no,pn,ai
yes,123,13,AQD31,arbitrary,no,pn,au
yes,124,19,PAA25,training,yes,kp,ae
yes,124,19,WHL13,training,yes,kp,ae
yes,124,22,THB15,training,yes,kp,ae
yes,124,23,OWP11,training,yes,kp,ae
yes,124,24,CTU23,training,yes,kp,ae
yes,124,24,ZQN28,training,yes,kp,ae
yes,125,23,XRI46,training,yes,kp,ai
yes,125,25,LWE35,training,yes,kp,ai
yes,125,26,DQJ26,training,yes,kp,ai
yes,126,19,HYA18,training,yes,kp,au
yes,126,26,LSL5,training,yes,kp,au
yes,127,12,ZKN24,arbitrary,no,pn,ea
yes,127,18,XYI7,arbitrary,no,pn,ea
yes,128,18,FEY33,arbitrary,no,pn,ei
yes,129,15,ITF10,arbitrary,no,pn,eu
yes,129,18,BRM12,arbitrary,no,pn,eu
yes,129,18,YGH17,arbitrary,no,pn,eu
yes,13,12,DUY43,training,yes,shj,ia
yes,13,15,PRM39,training,yes,shj,ia
yes,13,16,HNI31,training,yes,shj,ia
yes,13,16,YCA20,training,yes,shj,ia
yes,13,17,NBS40,training,yes,shj,ia
yes,130,19,QZV17,training,yes,kp,ea
yes,130,21,XXX13,training,yes,kp,ea
yes,130,23,EXG29,training,yes,kp,ea
yes,130,25,BOP7,training,yes,kp,ea
yes,130,25,JTL5,training,yes,kp,ea
yes,131,20,CSE47,training,yes,kp,ei
yes,131,20,HNI31,training,yes,kp,ei
yes,131,21,GTK36,training,yes,kp,ei
yes,131,22,YGH17,training,yes,kp,ei
yes,131,23,APO16,training,yes,kp,ei
yes,132,19,OOM11,training,yes,kp,eu
yes,132,22,FLQ15,training,yes,kp,eu
yes,132,26,BJE32,training,yes,kp,eu
yes,133,11,BOP7,arbitrary,no,pn,ia
yes,134,14,LXE12,arbitrary,no,pn,ie
yes,134,16,TZL16,arbitrary,no,pn,ie
yes,134,18,APO16,arbitrary,no,pn,ie
yes,136,21,HTD30,training,yes,kp,ia
yes,136,22,BRM12,training,yes,kp,ia
yes,137,19,WJQ20,training,yes,kp,ie
yes,137,20,NBS40,training,yes,kp,ie
yes,137,26,KPY6,training,yes,kp,ie
yes,138,21,PRM39,training,yes,kp,iu
yes,138,26,YCA20,training,yes,kp,iu
yes,139,13,YTA13,arbitrary,no,pn,ua
yes,139,16,IXJ33,arbitrary,no,pn,ua
yes,139,17,OMR16,arbitrary,no,pn,ua
yes,139,18,JGJ14,arbitrary,no,pn,ua
yes,14,11,FLQ15,training,yes,shj,ie
yes,14,11,LWE35,training,yes,shj,ie
yes,14,11,WRW13,training,yes,shj,ie
yes,14,12,APO16,training,yes,shj,ie
yes,14,13,BUN5,training,yes,shj,ie
yes,14,16,RTM20,training,yes,shj,ie
yes,14,17,JXT29,training,yes,shj,ie
yes,140,12,LSL5,arbitrary,no,pn,ue
yes,140,12,PRM39,arbitrary,no,pn,ue
yes,140,12,XRI46,arbitrary,no,pn,ue
yes,140,13,OWP11,arbitrary,no,pn,ue
yes,140,18,THB15,arbitrary,no,pn,ue
yes,141,12,HNI31,arbitrary,no,pn,ui
yes,141,17,CTU23,arbitrary,no,pn,ui
yes,142,22,RTM20,training,yes,kp,ua
yes,142,24,JPD23,training,yes,kp,ua
yes,142,24,PJQ22,training,yes,kp,ua
yes,142,25,WIR19,training,yes,kp,ua
yes,142,26,AQD31,training,yes,kp,ua
yes,143,20,ITF10,training,yes,kp,ue
