stimulus,c1,v1,n,v2,voicing
sumi,s,u,m,i,voiceless
sumu,s,u,m,u,voiceless
suna,s,u,n,a,voiceless
suni,s,u,n,i,voiceless
sunu,s,u,n,u,voiceless
tala,t,a,l,a,voiceless
tali,t,a,l,i,voiceless
talu,t,a,l,u,voiceless
tama,t,a,m,a,voiceless
tami,t,a,m,i,voiceless
tamu,t,a,m,u,voiceless
tana,t,a,n,a,voiceless
tani,t,a,n,i,voiceless
tanu,t,a,n,u,voiceless
tela,t,e,l,a,voiceless
teli,t,e,l,i,voiceless
telu,t,e,l,u,voiceless
tema,t,e,m,a,voiceless
temi,t,e,m,i,voiceless
temu,t,e,m,u,voiceless
tena,t,e,n,a,voiceless
teni,t,e,n,i,voiceless
tenu,t,e,n,u,voiceless
tila,t,i,l,a,voiceless
tili,t,i,l,i,voiceless
tilu,t,i,l,u,voiceless
tima,t,i,m,a,voiceless
timi,t,i,m,i,voiceless
timu,t,i,m,u,voiceless
tinal,t,i,n,a,voiceless
tinil,t,i,n,i,voiceless
tinu,t,i,n,u,voiceless
tola,t,o,l,a,voiceless
toli,t,o,l,i,voiceless
tolu,t,o,l,u,voiceless
toma,t,o,m,a,voiceless
tomi,t,o,m,i,voiceless
tomu,t,o,m,u,voiceless
tona,t,o,n,a,voiceless
toni,t,o,n,i,voiceless
tonu,t,o,n,u,voiceless
tulan,t,u,l,a,voiceless
tulin,t,u,l,i,voiceless
tulu,t,u,l,u,voiceless
tuma,t,u,m,a,voiceless
tumi,t,u,m,i,voiceless
tumu,t,u,m,u,voiceless
tunal,t,u,n,a,voiceless
tuni,t,u,n,i,voiceless
tunu,t,u,n,u,voiceless
t_ala,T,a,l,a,voiceless
t_ali,T,a,l,i,voiceless
t_alu,T,a,l,u,voiceless
t_ama,T,a,m,a,voiceless
t_ami,T,a,m,i,voiceless
t_amu,T,a,m,u,voiceless
t_ana,T,a,n,a,voiceless
t_ani,T,a,n,i,voiceless
t_anu,T,a,n,u,voiceless
t_ela,T,e,l,a,voiceless
t_eli,T,e,l,i,voiceless
t_elu,T,e,l,u,voiceless
t_ema,T,e,m,a,voiceless
t_emi,T,e,m,i,voiceless
t_emu,T,e,m,u,voiceless
t_ena,T,e,n,a,voiceless
t_eni,T,e,n,i,voiceless
t_enu,T,e,n,u,voiceless
t_ila,T,i,l,a,voiceless
t_ili,T,i,l,i,voiceless
t_ilu,T,i,l,u,voiceless
t_ima,T,i,m,a,voiceless
t_imi,T,i,m,i,voiceless
t_imu,T,i,m,u,voiceless
t_ina,T,i,n,a,voiceless
t_ini,T,i,n,i,voiceless
t_inu,T,i,n,u,voiceless
t_ola,T,o,l,a,voiceless
t_oli,T,o,l,i,voiceless
t_olu,T,o,l,u,voiceless
t_oma,T,o,m,a,voiceless
t_omi,T,o,m,i,voiceless
t_omu,T,o,m,u,voiceless
t_ona,T,o,n,a,voiceless
t_oni,T,o,n,i,voiceless
t_onu,T,o,n,u,voiceless
t_ula,T,u,l,a,voiceless
t_uli,T,u,l,i,voiceless
t_ulu,T,u,l,u,voiceless
t_uma,T,u,m,a,voiceless
t_umi,T,u,m,i,voiceless
t_umu,T,u,m,u,voiceless
t_una,T,u,n,a,voiceless
t_uni,T,u,n,i,voiceless
t_unu,T,u,n,u,voiceless
vala,v,a,l,a,voiced
valin,v,a,l,i,voiced
valu,v,a,l,u,voiced
vama,v,a,m,a,voiced
vami,v,a,m,i,voiced
vamu,v,a,m,u,voiced
vana,v,a,n,a,voiced
vani,v,a,n,i,voiced
vanu,v,a,n,u,voiced
vela,v,e,l,a,voiced
veli,v,e,l,i,voiced
velu,v,e,l,u,voiced
vema,v,e,m,a,voiced
vemi,v,e,m,i,voiced
vemu,v,e,m,u,voiced
vena,v,e,n,a,voiced
venil,v,e,n,i,voiced
venu,v,e,n,u,voiced
vilan,v,i,l,a,voiced
vili,v,i,l,i,voiced
vilu,v,i,l,u,voiced
vima,v,i,m,a,voiced
vimi,v,i,m,i,voiced
vimu,v,i,m,u,voiced
vina,v,i,n,a,voiced
vini,v,i,n,i,voiced
vinu,v,i,n,u,voiced
vola,v,o,l,a,voiced
voli,v,o,l,i,voiced
volu,v,o,l,u,voiced
voma,v,o,m,a,voiced
vomi,v,o,m,i,voiced
vomu,v,o,m,u,voiced
vona,v,o,n,a,voiced
voni,v,o,n,i,voiced
vonu,v,o,n,u,voiced
vula,v,u,l,a,voiced
vuli,v,u,l,i,voiced
vulu,v,u,l,u,voiced
vuma,v,u,m,a,voiced
vumi,v,u,m,i,voiced
vumu,v,u,m,u,voiced
vuna,v,u,n,a,voiced
vuni,v,u,n,i,voiced
vunu,v,u,n,u,voiced
zala,z,a,l,a,voiced
zali,z,a,l,i,voiced
zalu,z,a,l,u,voiced
zama,z,a,m,a,voiced
zami,z,a,m,i,voiced
zamu,z,a,m,u,voiced
zana,z,a,n,a,voiced
zani,z,a,n,i,voiced
zanu,z,a,n,u,voiced
zela,z,e,l,a,voiced
zeli,z,e,l,i,voiced
zelu,z,e,l,u,voiced
zema,z,e,m,a,voiced
zemi,z,e,m,i,voiced
zemu,z,e,m,u,voiced
zena,z,e,n,a,voiced
zeni,z,e,n,i,voiced
zenu,z,e,n,u,voiced
zila,z,i,l,a,voiced
zili,z,i,l,i,voiced
zilu,z,i,l,u,voiced
zima,z,i,m,a,voiced
zimi,z,i,m,i,voiced
zimu,z,i,m,u,voiced
zina,z,i,n,a,voiced
zini,z,i,n,i,voiced
zinu,z,i,n,u,voiced
zolan,z,o,l,a,voiced
zoli,z,o,l,i,voiced
zolu,z,o,l,u,voiced
zoma,z,o,m,a,voiced
zomi,z,o,m,i,voiced
